id,brand,store_name,address,district,source_url,collected_at
kr-daiso-63be86e9f1bfaa59,다이소,강남구청역점,서울특별시 강남구 학동로 지하 346 (삼성동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-d5261efcd1b81b20,다이소,강남세곡점,서울특별시 강남구 헌릉로569길 21-36 (세곡동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-3ba697215a79e9e4,다이소,강남역2호점,서울특별시 강남구 테헤란로 109 (역삼동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-5b70bb3cd0ac972a,다이소,강남역점,서울특별시 강남구 강남대로 422 (역삼동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-6a6b09ab17acf3d6,다이소,개포동점,서울특별시 강남구 선릉로 30 (개포동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-5255fceb8ac3b3c4,다이소,고객사랑마트포이점,서울특별시 강남구 논현로10길 29 (개포동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-2970b5b258958ede,다이소,대치역사거리점,서울특별시 강남구 삼성로 155 (대치동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-a7ac70abb0a2cd5c,다이소,도곡점,서울특별시 강남구 도곡로 188 (도곡동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-b45dbb4aa8cac757,다이소,매봉역점,서울 강남구 남부순환로 2748,강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-6526365a56c3fb38,다이소,선릉점,서울특별시 강남구 테헤란로 414 (대치동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-b5e9d7ec2f259716,다이소,신사가로수길점,서울특별시 강남구 가로수길 25 (신사동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-421f725305001c1b,다이소,신사역점,서울특별시 강남구 강남대로 606 (논현동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-904fded209fe200e,다이소,압구정역점,서울특별시 강남구 논현로 878 (신사동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-7a8599c07816bae8,다이소,영동프라자점,서울특별시 강남구 강남대로128길 20 (논현동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-f677a2aca691d70d,다이소,일원역점,서울특별시 강남구 일원로 115(일원동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-798c57530e536c56,다이소,청담도산공원점,서울특별시 강남구 도산대로49길 9 (신사동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-ed600e5e3aa29db5,다이소,코엑스몰점,서울특별시 강남구 봉은사로 524 (삼성동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-5465d5910349db3f,다이소,한티역점,서울특별시 강남구 선릉로 227(도곡동),강남구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-366a0d7174b5edba,다이소,고덕점,서울특별시 강동구 동남로75길 13-7 (명일동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-2785d3ae44903046,다이소,길동점,서울특별시 강동구 양재대로 1490 (길동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-b238901a735cd3cf,다이소,둔촌동역점,서울특별시 강동구 양재대로 1355 (성내동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-58cf126f38afdb19,다이소,상일동역점,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-23d59988b316ed1c,다이소,암사역점,서울특별시 강동구 올림픽로 779 (암사동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-77ed1c520a07c153,다이소,이마트고덕점,서울특별시 강동구 고덕비즈밸리로 51 (고덕동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-cf8d802444aab18a,다이소,이마트천호점,서울특별시 강동구 천호대로 1017 (천호동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-2fb9451bd2c66839,다이소,이스턴스퀘어강동천호점,"서울특별시 강동구 올림픽로78길 60 (천호동, 강동 밀레니얼 중흥S-클래스)",강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-2eeccfc728192865,다이소,천호본점,서울특별시 강동구 천호대로 1012 (성내동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-5de4cc92cb603f66,다이소,하나로마트고덕점,"서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-b54ed2b906cbda4d,다이소,하나로마트성내점,서울특별시 강동구 올림픽로 528(성내동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-e4199a4362118e1d,다이소,홈플러스강동점,서울 강동구 양재대로 1571,강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-6a5bcd9cca954b68,다이소,e에브리데이둔촌포레온점,"서울특별시 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온)",강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-53061e2040542191,다이소,GS슈퍼둔촌점,서울특별시 강동구 양재대로 1360 (둔촌동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-9e513e4526c5e226,다이소,GS슈퍼명일점,서울특별시 강동구 양재대로 1630 (명일동),강동구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-300d5b77d64336d4,다이소,강북구청사거리점,서울특별시 강북구 한천로 1038 (수유동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-7696670df00a3e07,다이소,대지시장점,서울특별시 강북구 솔샘로 239 (미아동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-b9df45ae219afbfc,다이소,롯데마트삼양점,서울특별시 강북구 삼양로 247 (미아동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-2f85b4e81e55648c,다이소,미아사거리점,서울특별시 강북구 월계로 3 (미아동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-2858ced56a548d1b,다이소,미아역점,서울특별시 강북구 도봉로 147 (미아동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-484c78c078c4b4b4,다이소,번동점,서울특별시 강북구 오현로 190 (번동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
kr-daiso-ab16de506e870a3e,다이소,삼양시장점,서울특별시 강북구 삼양로 234 (미아동),강북구,https://www.daisomall.co.kr/ms/msg/SCR_MSG_0019,2026-09-18
